TeardownID,Handle,Platform,Lane,Followers,ArtifactURL,Views,Likes,EngRate,Hook,Structure,Contract,MoneyPath,StealThis,Evidence,ClaimStatus,Confidence,Verified
CT-011,unconfirmed,TikTok,nostalgia-90s,,,,,,,"Named as Morgan Bartel in a published roundup. 90s beauty trends, school lunches, snacks. Handle not confirmed and no artifact pulled.",,,,https://www.romper.com/life/tik-tok-accounts-to-follow-grew-up-90s,none,listed,no
CT-012,@theafnankhalifa,Instagram,wealth-personal-brand,1900000,https://www.instagram.com/theafnankhalifa/,,,,The middle class is more expensive than you think.,"6 repeating openers: insider credibility, origin-story contrast, a binary ambition slogan, a counter-intuitive attack on the middle class, a fulfilment reframe, and no-backup-plan hustle. Long-form monologues of 17 to 42 minutes, infrequent, mined into near-daily Shorts. Most Shorts are podcast interview clips cut down.",Helping you grow your followers and then make money from it.,"Free content, a free guide and a free Saturday masterclass, then a 14 day scripting challenge at $249 on the waitlist and $349 public, then a 9 week program priced behind a call. A third-party reviewer reports paying about $942.55 SGD for a Reels growth course, receiving a portal of locked upsells instead, having a refund request ignored, and being refunded only after a public complaint reached 4,500 views.","The mechanics, never the persona. 1 call to action per piece routing to 1 named system, and free content that demonstrates the exact skill being sold. Her scripting lessons sell scripting. Amanda's AI explainers should sell the AI guide. Skip the luxury flex, the broke-women framing and the cut-off-your-family bluntness.","Musie research brief 2026-09-17, which reports reading transcripts and the live ladder. Primary transcripts and the flagship YouTube video were NOT re-read here: youtube.com/watch?v=-94EPwRYehE returns no metadata to a fetch. Handle confirmed to exist 2026-09-18. Follower count conflicts: Musie reports 2,349,902 read live, 2 independent third-party sources in 2026 report 1.9M. The lower figure is recorded. Delivery and refund complaint: seowithsenthil.com/blog/afnan-khalifa-course-review, read 2026-09-18.",disputed,reported,yes
CT-013,@codiesanchez,Multi,acquisition-education,,https://www.contrarianthinking.co/,,,,Do you want to buy or grow a profitable business?,"1 newsletter becomes 5 to 10 platform-native pieces. Scripts written and filmed on 1 weekly film day, handed to an editor against a style guide. Social is treated as rented and pushed into email, which is owned. Product before community: a course, sprint or challenge first, so creation funds itself.","Your unfair advantage in finding, buying, and profiting from small businesses.","Free newsletter, then Acquisition Foundations, whose price is not published on its own page, then Contrarian Academy. The course credits $2,000 toward the Academy. A third-party review reports the Academy at $10,000 a year, unconfirmed by the company. Inc. reported Contrarian Thinking as a $31M company.","Credit the first purchase upward. The exact words on the page are ""Yes. And we'll credit you $2,000 towards the Contrarian Academy."" This is the mechanic Amanda's ladder does not have, and the $37 and $47 products are where it is missing.","contrarianthinking.co and /acquisition-foundations/ read 2026-09-18: tagline, promise and the $2,000 credit quoted verbatim from those pages. Creator Science interview read 2026-09-18, confirming ""Social growth has been 10x, anything else we do for the newsletter."" The Inc. $31M figure could NOT be re-read here: the article returns HTTP 403.",thirdparty,reported,yes
CT-014,@sweatystartup,Multi,boring-business-acquisition,,https://www.sweatystartup.com/start-here,,,,The Shark Tank and Tech Crunch culture is ruining the real spirit of low-risk entrepreneurship.,"1 recurring frame, Businesses I Love against Businesses I Hate, applied to named trades: lawn care, pest control, painting, pressure washing, window cleaning, junk removal. 300+ podcast episodes across 2 shows, 200+ articles, and a weekly newsletter to 42,000+ subscribers.","Every week I name which small businesses are worth starting and which are not, and I own the ones I recommend.","Free newsletter, podcast and articles, then a book and events, then 7 named operating companies: Bolt Storage, RE Cost Seg, RecruitJet, Titan Risk, Blue Key Capital, Tax Credit Hunter and WebRun Labs. Event and consulting prices are not published.","Invert the status. Make the boring, small, practical choice read as the smarter one. He does it by owning the thing he recommends, which is the same move as Amanda teaching from systems she actually runs.","sweatystartup.com/start-here read 2026-09-18. The quoted stance, the 300+ episodes, 200+ articles, 42,000+ subscribers and the 7 company names are all verbatim from that page, self-published. The hook the source benchmark quoted, about chasing a small boring opportunity, is NOT on this page and was not re-read.",official,reported,yes
CT-015,Walker Deibel,Web,acquisition-frameworks,,https://buythenbuild.com/6-months-to-ceo/,,,,The startup phase is a company killer.,"Every concept gets a name until the process feels ownable. Opportunity, Evaluation, Analysis, Execution. Opportunity profile. Target statement. Buying a business stops being a leap and becomes a sequence.","I will teach you buying a business as a named process you can repeat, not a leap you get lucky on.","Free content, then the book, then 6 Months to CEO at $499 one payment, then Acquisition Lab. A third party reports the Lab at $8,500 with $10,000 planned. The company does not publish that figure.","Name everything. A named framework travels further than an unnamed collection of tips, and it is what lets a buyer describe the thing to somebody else.","buythenbuild.com/6-months-to-ceo read 2026-09-18: ""$ 499 One Payment"" verbatim. The $8,500 Acquisition Lab figure is third party and was NOT confirmed against the company. The quoted hook comes from the source benchmark and was not re-read.",thirdparty,reported,yes
CT-016,Anne Muhia,Multi,main-street-operator,,https://arenaacademy.online/business-of-you,,,,AI can't fix a messy business. It just helps you do the messy thing faster.,"Lo-fi direct to camera breakdowns, candid failure stories, a recurring segment called Business Broken Down, a Friday live, and long-form interviews. The specificity is East African and Main Street rather than generic acquisition theory.",I break down a real business every week and I go live every Friday.,"Free TikTok, YouTube and a weekly live, then consulting and training, then the Business of You masterclass: 3 hours, 2 hours teaching and 1 hour live Q and A, at KES 1,999 early bird and KES 3,500 full. No high-ticket offer found.","Make operator receipts the production value. The lo-fi format is the credibility, not a compromise. Amanda's build-in-public pillar is the same bet and should stop apologising for looking unpolished.","arenaacademy.online/business-of-you read 2026-09-18: both prices and the 3 hour structure verbatim. The early bird window closed 2026-08-15, so KES 3,500 is the current figure. The hook, the Friday live and the Business Broken Down segment come from the source benchmark and were not re-read.",official,reported,yes
CT-017,Hello Seven,Web,wealth-education-women,,https://helloseven.co/rich/,,,,,,,"Free weekly podcast, then the Rich workshop at $497 on launch against $997 regular, with a VIP tier at $997 on launch against $1,997 regular, then Studio Six or the Mastermind. The $497 is credited toward the next tier. The VIP tier is not.","The credit mechanic, same shape as Contrarian Thinking's. Worth noting that the credit applies to the standard tier only, which is a detail the source benchmark missed.","helloseven.co/rich read 2026-09-18: all 4 prices and the credit sentence verbatim, including that the credit is the $497 and does not extend to VIP. No content was pulled, so no hook and no promise were ever captured. Lead only as a teardown, though the money mechanic is verified.",official,reported,no
CT-018,Kelly Roach,Podcast,people-first-scaling,,,,,,,,,"Free podcast, then books and programs, then the Legacy Leaders Mastermind. Prices not captured.",,"Named in the source benchmark with a 1,000+ episode podcast archive and named IP, the Live Launch Method. The benchmark itself states that current program prices and exact recent hooks were not published or captured. Nothing was pulled here either.",none,listed,no
CT-019,Rachel Woods,Newsletter,ai-for-small-business,,https://news.mccombs.utexas.edu/magazine/2024-spring-summer/year-of-ai-ai-for-mom-pop/,,,,,,,"Free newsletter and social, then education and resources, then a paid membership, then consulting. The company self-reported 1,800 paid members and 200 companies by the end of 2023.",,"A university profile article is the only artifact the source benchmark cites. The benchmark states that prices, cadence and quoted hooks were not captured. The membership figures are the company's own. Nothing was pulled here.",selfreported,reported,no
CT-020,Allie K. Miller,LinkedIn,ai-executive-translation,,https://www.aia.org/aia-architect/article/aia25-allie-k-miller-inspires-architects-lead-ai-age,,,,Apply AI to the places that make sense.,,,"Free social, webinars and 8 to 10 guidebooks, then MasterClass, then keynote work and Fortune 500 advisory. Fees not published.",,"The quoted hook and the Three-P framework come from a conference profile cited by the source benchmark. The benchmark states fees are not published and exact cadence was not captured. No promise with a frequency or a stance behind it was ever recorded, so this stays a lead.",none,reported,no
CT-021,Sabrina Ramonov,Multi,ai-education-to-software,3000000,https://www.blotato.com/about,,,,,,,"Free AI education at volume feeding Blotato, the tool that operationalises what the content teaches. Self-reported: 3M+ followers, 33M+ monthly organic views, 250+ posts published per week, $0 funding and budget.",,"blotato.com/about read 2026-09-18. Every figure is verbatim from that page and every one of them is the company describing itself on its own marketing surface. The page also claims a dashboard screenshot showing 8,027,527 accounts reached and 40M video views. No hook and no promise were captured, so this is a volume reference, not a content model.",selfreported,reported,no
CT-022,@leilahormozi,Multi,operator-leadership,,https://www.acquisition.com/team/bio-leila-2,,,,"Scaling businesses through flexible infrastructures and creating management systems that create wonderful places to work, and performance to match.","Scaling, hiring leaders and installing systems, across YouTube and Instagram. Frameworks over feelings, and proof stated before personality.",I will show you how to scale through systems and people so the company stops depending on you.,"Free content, then Acquisition.com courses in scaling, offers, leads and money models, then the investment platform itself. Her bio states a portfolio generating over $85,000,000 in yearly revenue and 3 companies scaled to $120M+ cumulative sales.","The nearest thing on this bench to Amanda's own lane: management systems as the product, not motivation. She names the enemy as founder dependency, which is the same enemy as being the system yourself.","acquisition.com/team/bio-leila-2 read 2026-09-18, the quoted line and both money figures verbatim from her own bio. The page carries its own disclaimer that her results are not typical. Content focus is from a secondary summary and was not re-read at source. Upgraded from a lead on 2026-09-18 after Amanda named her 1 of 3 models.",official,reported,yes
