Slug,FactID,Platform,AccountId,SlotUTC,Status,MediaUrl,Text,Waiting
cesa-blackgirl,HAL-021,facebook,30840,17:10,NEEDS_RENDER,,"Black cats were good luck first.

British sailors kept a black ship's cat for safe passage and their wives kept one at home for the same reason. In Edo period Japan a black cat warded off evil and drew good fortune.

The bad luck version is the newer, narrower story.

She's not a cat. But the black girls have always been the good luck around here.

Comment SEASONAL and I'll send you the weekly note.

https://consider-this.subscribepage.io",a plate and a render
cesa-blackgirl,HAL-021,youtube,36129,17:20,NEEDS_RENDER,,"Black cats were good luck first.

British sailors kept a black ship's cat for safe passage and their wives kept one at home for the same reason. In Edo period Japan a black cat warded off evil and drew good fortune.

The bad luck version is the newer, narrower story.

She's not a cat. But the black girls have always been the good luck around here.

Comment SEASONAL and I'll send you the weekly note.

https://consider-this.subscribepage.io",a plate and a render
coffinbell,HAL-005,instagram,45886,,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/e6925be5-2d88-43a6-90e3-08e17f88bbca.mp4,"Victorians were frightened enough of being buried alive to patent a way out.

Safety coffins came with bells, ropes and breathing tubes. Christian Eisenbrandt patented one in the United States in 1843.

A whole industry grew around a fear nobody would say out loud.

Comment SEASONAL and I'll send you the weekly note.",
coffinbell,HAL-005,tiktok,41488,,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/e6925be5-2d88-43a6-90e3-08e17f88bbca.mp4,"Victorians were frightened enough of being buried alive to patent a way out.

Safety coffins came with bells, ropes and breathing tubes. Christian Eisenbrandt patented one in 1843.

A whole industry grew around a fear nobody would say out loud.

Follow for the real one, every season. The note is in my bio.

#LearnOnTikTok #history #victorian",
coffinbell,HAL-005,facebook,30840,17:10,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/e6925be5-2d88-43a6-90e3-08e17f88bbca.mp4,"Victorians were frightened enough of being buried alive to patent a way out.

Safety coffins came with bells, ropes and breathing tubes. Christian Eisenbrandt patented one in the United States in 1843.

A whole industry grew around a fear nobody would say out loud.

Comment SEASONAL and I'll send you the weekly note.

https://consider-this.subscribepage.io",
coffinbell,HAL-005,youtube,36129,17:20,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/e6925be5-2d88-43a6-90e3-08e17f88bbca.mp4,"Victorians were frightened enough of being buried alive to patent a way out.

Safety coffins came with bells, ropes and breathing tubes. Christian Eisenbrandt patented one in the United States in 1843.

A whole industry grew around a fear nobody would say out loud.

Comment SEASONAL and I'll send you the weekly note.

https://consider-this.subscribepage.io",
countdown-ig,CDN,instagram,45886,,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/82509bb9-cb07-4b3d-b5ac-6cc74bb4b46b.mp4,"Samhain is 5 nights out.

The night the year turns and the boundary goes thin. Every fact this month has been walking toward it.

1 true thing, every night until then.

Comment SEASONAL and I'll send you the weekly note.",
countdown-ig,CDN,tiktok,41488,,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/82509bb9-cb07-4b3d-b5ac-6cc74bb4b46b.mp4,"Samhain is 5 nights out.

The night the year turns and the boundary goes thin. Every fact this month has been walking toward it.

1 true thing, every night until then.

Follow for the last 5. The note is in my bio.

#LearnOnTikTok #halloween #samhain",
countdown-ig,CDN,facebook,30840,17:10,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/82509bb9-cb07-4b3d-b5ac-6cc74bb4b46b.mp4,"Samhain is 5 nights out.

The night the year turns and the boundary goes thin. Every fact this month has been walking toward it.

1 true thing, every night until then.

Comment SEASONAL and I'll send you the weekly note.

https://consider-this.subscribepage.io",
countdown-ig,CDN,youtube,36129,17:20,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/82509bb9-cb07-4b3d-b5ac-6cc74bb4b46b.mp4,"Samhain is 5 nights out.

The night the year turns and the boundary goes thin. Every fact this month has been walking toward it.

1 true thing, every night until then.

Subscribe for the real one, every season. The weekly note:
https://consider-this.subscribepage.io

#gentlemuse #halloween #shorts",
countdown-tt,CDN,instagram,45886,,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/ce721fc3-8058-47fc-9436-c25a27781327.mp4,"Samhain is 5 nights out.

The night the year turns and the boundary goes thin. Every fact this month has been walking toward it.

1 true thing, every night until then.

Comment SEASONAL and I'll send you the weekly note.",
countdown-tt,CDN,tiktok,41488,,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/ce721fc3-8058-47fc-9436-c25a27781327.mp4,"Samhain is 5 nights out.

The night the year turns and the boundary goes thin. Every fact this month has been walking toward it.

1 true thing, every night until then.

Follow for the last 5. The note is in my bio.

#LearnOnTikTok #halloween #samhain",
countdown-tt,CDN,facebook,30840,17:10,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/ce721fc3-8058-47fc-9436-c25a27781327.mp4,"Samhain is 5 nights out.

The night the year turns and the boundary goes thin. Every fact this month has been walking toward it.

1 true thing, every night until then.

Comment SEASONAL and I'll send you the weekly note.

https://consider-this.subscribepage.io",
countdown-tt,CDN,youtube,36129,17:20,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/ce721fc3-8058-47fc-9436-c25a27781327.mp4,"Samhain is 5 nights out.

The night the year turns and the boundary goes thin. Every fact this month has been walking toward it.

1 true thing, every night until then.

Subscribe for the real one, every season. The weekly note:
https://consider-this.subscribepage.io

#gentlemuse #halloween #shorts",
gb-bike,HAL-014,instagram,45886,,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/1d19d8c8-10a2-48eb-9f90-e6121f6d12d9.mp4,"Goosebumps was dismissed by every serious critic who looked at it.

Books in 1992, television by 1995, and R.L. Stine writing at roughly one a month. Fast, cheap, and for children.

It taught a whole generation that a chapter ending on a hook is worth staying up for.

Comment SEASONAL and I'll send you the weekly note.",
gb-bike,HAL-014,tiktok,41488,,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/1d19d8c8-10a2-48eb-9f90-e6121f6d12d9.mp4,"Goosebumps was dismissed by every serious critic who looked at it.

Books in 1992, TV by 1995, R.L. Stine writing roughly one a month. Fast, cheap, for children.

It taught a generation that a chapter ending on a hook is worth staying up for.

Follow for the real one, every season. The note is in my bio.

#LearnOnTikTok #90s #books",
gb-bike,HAL-014,facebook,30840,17:10,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/1d19d8c8-10a2-48eb-9f90-e6121f6d12d9.mp4,"Goosebumps was dismissed by every serious critic who looked at it.

Books in 1992, television by 1995, and R.L. Stine writing at roughly one a month. Fast, cheap, and for children.

It taught a whole generation that a chapter ending on a hook is worth staying up for.

Comment SEASONAL and I'll send you the weekly note.

https://consider-this.subscribepage.io",
gb-bike,HAL-014,youtube,36129,17:20,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/1d19d8c8-10a2-48eb-9f90-e6121f6d12d9.mp4,"Goosebumps was dismissed by every serious critic who looked at it.

Books in 1992, television by 1995, and R.L. Stine writing at roughly one a month. Fast, cheap, and for children.

It taught a whole generation that a chapter ending on a hook is worth staying up for.

Comment SEASONAL and I'll send you the weekly note.

https://consider-this.subscribepage.io",
gb-fort,HAL-014,instagram,45886,,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/5cdbc7b5-774b-4219-a167-10a4c743fd3e.mp4,"Goosebumps was dismissed by every serious critic who looked at it.

Books in 1992, television by 1995, and R.L. Stine writing at roughly one a month. Fast, cheap, and for children.

It taught a whole generation that a chapter ending on a hook is worth staying up for.

Comment SEASONAL and I'll send you the weekly note.",
gb-fort,HAL-014,tiktok,41488,,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/5cdbc7b5-774b-4219-a167-10a4c743fd3e.mp4,"Goosebumps was dismissed by every serious critic who looked at it.

Books in 1992, TV by 1995, R.L. Stine writing roughly one a month. Fast, cheap, for children.

It taught a generation that a chapter ending on a hook is worth staying up for.

Follow for the real one, every season. The note is in my bio.

#LearnOnTikTok #90s #books",
gb-fort,HAL-014,facebook,30840,17:10,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/5cdbc7b5-774b-4219-a167-10a4c743fd3e.mp4,"Goosebumps was dismissed by every serious critic who looked at it.

Books in 1992, television by 1995, and R.L. Stine writing at roughly one a month. Fast, cheap, and for children.

It taught a whole generation that a chapter ending on a hook is worth staying up for.

Comment SEASONAL and I'll send you the weekly note.

https://consider-this.subscribepage.io",
gb-fort,HAL-014,youtube,36129,17:20,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/5cdbc7b5-774b-4219-a167-10a4c743fd3e.mp4,"Goosebumps was dismissed by every serious critic who looked at it.

Books in 1992, television by 1995, and R.L. Stine writing at roughly one a month. Fast, cheap, and for children.

It taught a whole generation that a chapter ending on a hook is worth staying up for.

Comment SEASONAL and I'll send you the weekly note.

https://consider-this.subscribepage.io",
gb-paperbacks,HAL-014,instagram,45886,,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/df0b933e-e59b-42c0-a52c-494bcc45f264.mp4,"Goosebumps was dismissed by every serious critic who looked at it.

Books in 1992, television by 1995, and R.L. Stine writing at roughly one a month. Fast, cheap, and for children.

It taught a whole generation that a chapter ending on a hook is worth staying up for.

Comment SEASONAL and I'll send you the weekly note.",
gb-paperbacks,HAL-014,tiktok,41488,,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/df0b933e-e59b-42c0-a52c-494bcc45f264.mp4,"Goosebumps was dismissed by every serious critic who looked at it.

Books in 1992, TV by 1995, R.L. Stine writing roughly one a month. Fast, cheap, for children.

It taught a generation that a chapter ending on a hook is worth staying up for.

Follow for the real one, every season. The note is in my bio.

#LearnOnTikTok #90s #books",
gb-paperbacks,HAL-014,facebook,30840,17:10,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/df0b933e-e59b-42c0-a52c-494bcc45f264.mp4,"Goosebumps was dismissed by every serious critic who looked at it.

Books in 1992, television by 1995, and R.L. Stine writing at roughly one a month. Fast, cheap, and for children.

It taught a whole generation that a chapter ending on a hook is worth staying up for.

Comment SEASONAL and I'll send you the weekly note.

https://consider-this.subscribepage.io",
gb-paperbacks,HAL-014,youtube,36129,17:20,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/df0b933e-e59b-42c0-a52c-494bcc45f264.mp4,"Goosebumps was dismissed by every serious critic who looked at it.

Books in 1992, television by 1995, and R.L. Stine writing at roughly one a month. Fast, cheap, and for children.

It taught a whole generation that a chapter ending on a hook is worth staying up for.

Comment SEASONAL and I'll send you the weekly note.

https://consider-this.subscribepage.io",
gb-rack,HAL-014,instagram,45886,,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/b6ce81de-93ca-46d8-bbd8-b901dadb979c.mp4,"Goosebumps was dismissed by every serious critic who looked at it.

Books in 1992, television by 1995, and R.L. Stine writing at roughly one a month. Fast, cheap, and for children.

It taught a whole generation that a chapter ending on a hook is worth staying up for.

Comment SEASONAL and I'll send you the weekly note.",
gb-rack,HAL-014,tiktok,41488,,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/b6ce81de-93ca-46d8-bbd8-b901dadb979c.mp4,"Goosebumps was dismissed by every serious critic who looked at it.

Books in 1992, TV by 1995, R.L. Stine writing roughly one a month. Fast, cheap, for children.

It taught a generation that a chapter ending on a hook is worth staying up for.

Follow for the real one, every season. The note is in my bio.

#LearnOnTikTok #90s #books",
gb-rack,HAL-014,facebook,30840,17:10,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/b6ce81de-93ca-46d8-bbd8-b901dadb979c.mp4,"Goosebumps was dismissed by every serious critic who looked at it.

Books in 1992, television by 1995, and R.L. Stine writing at roughly one a month. Fast, cheap, and for children.

It taught a whole generation that a chapter ending on a hook is worth staying up for.

Comment SEASONAL and I'll send you the weekly note.

https://consider-this.subscribepage.io",
gb-rack,HAL-014,youtube,36129,17:20,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/b6ce81de-93ca-46d8-bbd8-b901dadb979c.mp4,"Goosebumps was dismissed by every serious critic who looked at it.

Books in 1992, television by 1995, and R.L. Stine writing at roughly one a month. Fast, cheap, and for children.

It taught a whole generation that a chapter ending on a hook is worth staying up for.

Comment SEASONAL and I'll send you the weekly note.

https://consider-this.subscribepage.io",
halloweentown-v2,HAL-013-CESA,instagram,45886,,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/73bd8c39-e718-4b03-a82b-2030ea167173.mp4,"Debbie Reynolds was 66 when she played Aggie Cromwell.

Halloweentown premiered on the Disney Channel in 1998. The character every kid remembers as the fearless one, the one who knew what she was doing, was played by a woman in her 60s.

That is the actual message of the film.

Comment SEASONAL and I'll send you the weekly note.",
halloweentown-v2,HAL-013-CESA,tiktok,41488,,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/73bd8c39-e718-4b03-a82b-2030ea167173.mp4,"Debbie Reynolds was 66 when she played Aggie Cromwell.

Halloweentown premiered in 1998. The character every kid remembers as the fearless one was played by a woman in her 60s.

That is the actual message of the film.

Follow for the real one, every season. The note is in my bio.

#LearnOnTikTok #halloween #womenover40",
halloweentown-v2,HAL-013-CESA,facebook,30840,17:10,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/73bd8c39-e718-4b03-a82b-2030ea167173.mp4,"Debbie Reynolds was 66 when she played Aggie Cromwell.

Halloweentown premiered on the Disney Channel in 1998. The character every kid remembers as the fearless one, the one who knew what she was doing, was played by a woman in her 60s.

That is the actual message of the film.

Comment SEASONAL and I'll send you the weekly note.

https://consider-this.subscribepage.io",
halloweentown-v2,HAL-013-CESA,youtube,36129,17:20,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/73bd8c39-e718-4b03-a82b-2030ea167173.mp4,"Debbie Reynolds was 66 when she played Aggie Cromwell.

Halloweentown premiered on the Disney Channel in 1998. The character every kid remembers as the fearless one, the one who knew what she was doing, was played by a woman in her 60s.

That is the actual message of the film.

Subscribe for the real one, every season. The weekly note:
https://consider-this.subscribepage.io

#gentlemuse #halloween #shorts",
lugnano,HAL-018,instagram,45886,,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/e3dabeff-51c5-4806-89c8-0c182aa5ea96.mp4,"They put a stone in the child's mouth.

A Roman era grave excavated at Lugnano in Italy held a stone placed deliberately, one of a set of burials archaeologists read as meant to stop the dead returning.

Every generation does something physical about a fear it cannot argue with. Ours is just quieter.

Comment SEASONAL and I'll send you the weekly note.",
lugnano,HAL-018,tiktok,41488,,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/e3dabeff-51c5-4806-89c8-0c182aa5ea96.mp4,"They put a stone in the child's mouth.

A Roman era grave at Lugnano in Italy held a stone placed deliberately, one of a set of burials read as meant to stop the dead returning.

Every generation does something physical about a fear it cannot argue with.

Follow for the real one, every season. The note is in my bio.

#LearnOnTikTok #archaeology #history",
lugnano,HAL-018,facebook,30840,17:10,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/e3dabeff-51c5-4806-89c8-0c182aa5ea96.mp4,"They put a stone in the child's mouth.

A Roman era grave excavated at Lugnano in Italy held a stone placed deliberately, one of a set of burials archaeologists read as meant to stop the dead returning.

Every generation does something physical about a fear it cannot argue with. Ours is just quieter.

Comment SEASONAL and I'll send you the weekly note.

https://consider-this.subscribepage.io",
lugnano,HAL-018,youtube,36129,17:20,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/e3dabeff-51c5-4806-89c8-0c182aa5ea96.mp4,"They put a stone in the child's mouth.

A Roman era grave excavated at Lugnano in Italy held a stone placed deliberately, one of a set of burials archaeologists read as meant to stop the dead returning.

Every generation does something physical about a fear it cannot argue with. Ours is just quieter.

Comment SEASONAL and I'll send you the weekly note.

https://consider-this.subscribepage.io",
mare-bedroom,HAL-017,instagram,45886,,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/89a0a844-57c9-4684-b4ea-0693e441e5f1.mp4,"Nightmare used to name one specific thing.

A mare was a spirit people believed sat on a sleeper's chest. The weight, the not being able to move, the certainty something is in the room. We call it sleep paralysis now.

They had a word for it before they had an explanation.

Comment SEASONAL and I'll send you the weekly note.",
mare-bedroom,HAL-017,tiktok,41488,,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/89a0a844-57c9-4684-b4ea-0693e441e5f1.mp4,"Nightmare used to name one specific thing.

A mare was a spirit believed to sit on a sleeper's chest. The weight, the not being able to move. We call it sleep paralysis now.

They had a word for it before they had an explanation.

Follow for the real one, every season. The note is in my bio.

#LearnOnTikTok #history #etymology",
mare-bedroom,HAL-017,facebook,30840,17:10,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/89a0a844-57c9-4684-b4ea-0693e441e5f1.mp4,"Nightmare used to name one specific thing.

A mare was a spirit people believed sat on a sleeper's chest. The weight, the not being able to move, the certainty something is in the room. We call it sleep paralysis now.

They had a word for it before they had an explanation.

Comment SEASONAL and I'll send you the weekly note.

https://consider-this.subscribepage.io",
mare-bedroom,HAL-017,youtube,36129,17:20,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/89a0a844-57c9-4684-b4ea-0693e441e5f1.mp4,"Nightmare used to name one specific thing.

A mare was a spirit people believed sat on a sleeper's chest. The weight, the not being able to move, the certainty something is in the room. We call it sleep paralysis now.

They had a word for it before they had an explanation.

Comment SEASONAL and I'll send you the weekly note.

https://consider-this.subscribepage.io",
mare-nightstand,HAL-017,instagram,45886,,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/0d48faf3-12cc-4951-a900-e7b208bc006e.mp4,"Nightmare used to name one specific thing.

A mare was a spirit people believed sat on a sleeper's chest. The weight, the not being able to move, the certainty something is in the room. We call it sleep paralysis now.

They had a word for it before they had an explanation.

Comment SEASONAL and I'll send you the weekly note.",
mare-nightstand,HAL-017,tiktok,41488,,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/0d48faf3-12cc-4951-a900-e7b208bc006e.mp4,"Nightmare used to name one specific thing.

A mare was a spirit believed to sit on a sleeper's chest. The weight, the not being able to move. We call it sleep paralysis now.

They had a word for it before they had an explanation.

Follow for the real one, every season. The note is in my bio.

#LearnOnTikTok #history #etymology",
mare-nightstand,HAL-017,facebook,30840,17:10,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/0d48faf3-12cc-4951-a900-e7b208bc006e.mp4,"Nightmare used to name one specific thing.

A mare was a spirit people believed sat on a sleeper's chest. The weight, the not being able to move, the certainty something is in the room. We call it sleep paralysis now.

They had a word for it before they had an explanation.

Comment SEASONAL and I'll send you the weekly note.

https://consider-this.subscribepage.io",
mare-nightstand,HAL-017,youtube,36129,17:20,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/0d48faf3-12cc-4951-a900-e7b208bc006e.mp4,"Nightmare used to name one specific thing.

A mare was a spirit people believed sat on a sleeper's chest. The weight, the not being able to move, the certainty something is in the room. We call it sleep paralysis now.

They had a word for it before they had an explanation.

Comment SEASONAL and I'll send you the weekly note.

https://consider-this.subscribepage.io",
mare-rocking,HAL-017,instagram,45886,,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/bf73ffda-5994-4c4f-b60a-10e1344a7ccc.mp4,"Nightmare used to name one specific thing.

A mare was a spirit people believed sat on a sleeper's chest. The weight, the not being able to move, the certainty something is in the room. We call it sleep paralysis now.

They had a word for it before they had an explanation.

Comment SEASONAL and I'll send you the weekly note.",
mare-rocking,HAL-017,tiktok,41488,,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/bf73ffda-5994-4c4f-b60a-10e1344a7ccc.mp4,"Nightmare used to name one specific thing.

A mare was a spirit believed to sit on a sleeper's chest. The weight, the not being able to move. We call it sleep paralysis now.

They had a word for it before they had an explanation.

Follow for the real one, every season. The note is in my bio.

#LearnOnTikTok #history #etymology",
mare-rocking,HAL-017,facebook,30840,17:10,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/bf73ffda-5994-4c4f-b60a-10e1344a7ccc.mp4,"Nightmare used to name one specific thing.

A mare was a spirit people believed sat on a sleeper's chest. The weight, the not being able to move, the certainty something is in the room. We call it sleep paralysis now.

They had a word for it before they had an explanation.

Comment SEASONAL and I'll send you the weekly note.

https://consider-this.subscribepage.io",
mare-rocking,HAL-017,youtube,36129,17:20,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/bf73ffda-5994-4c4f-b60a-10e1344a7ccc.mp4,"Nightmare used to name one specific thing.

A mare was a spirit people believed sat on a sleeper's chest. The weight, the not being able to move, the certainty something is in the room. We call it sleep paralysis now.

They had a word for it before they had an explanation.

Comment SEASONAL and I'll send you the weekly note.

https://consider-this.subscribepage.io",
mare-weighted,HAL-017,instagram,45886,,STAGED,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/55bdef6b-d84e-44d9-bb4b-0fa9097bed6d.mp4,"Nightmare used to name one specific thing.

A mare was a spirit people believed sat on a sleeper's chest. The weight, the not being able to move, the certainty something is in the room. We call it sleep paralysis now.

They had a word for it before they had an explanation.

Comment SEASONAL and I'll send you the weekly note.",
